Key,Neighbors,Metric,Value,Algorithm
549,75,RMSE,0.875194728,SRA
550,75,HLU,1.494665377,SRA
552,75,SortingAccuracy,0.502713905,SRA
556,75,F1,0.719453748,SRA
559,80,Degree Diversity,0.873074254,Actual Diversity
560,80,Degree Diversity,0.831417435,SRA
561,80,MAE,0.668688405,SRA
562,80,RMSE,0.875251126,SRA
563,80,HLU,1.496697298,SRA
565,80,SortingAccuracy,0.502707583,SRA
569,80,F1,0.719648834,SRA
572,85,Degree Diversity,0.873074254,Actual Diversity
573,85,Degree Diversity,0.831402509,SRA
574,85,MAE,0.668641698,SRA
575,85,RMSE,0.875279868,SRA
576,85,HLU,1.498685461,SRA
578,85,SortingAccuracy,0.502895471,SRA
582,85,F1,0.71970826,SRA
585,90,Degree Diversity,0.873074254,Actual Diversity
586,90,Degree Diversity,0.831153285,SRA
587,90,MAE,0.66861397,SRA
588,90,RMSE,0.875321043,SRA
589,90,HLU,1.500448678,SRA
591,90,SortingAccuracy,0.502920021,SRA
595,90,F1,0.719776989,SRA
598,95,Degree Diversity,0.873074254,Actual Diversity
599,95,Degree Diversity,0.830616384,SRA
600,95,MAE,0.668590295,SRA
601,95,RMSE,0.875350273,SRA
602,95,HLU,1.503684457,SRA
604,95,SortingAccuracy,0.503063075,SRA
608,95,F1,0.719850494,SRA
611,100,Degree Diversity,0.873074254,Actual Diversity
612,100,Degree Diversity,0.83027734,SRA
613,100,MAE,0.668597531,SRA
614,100,RMSE,0.875401771,SRA
615,100,HLU,1.506796965,SRA
617,100,SortingAccuracy,0.503169903,SRA
621,100,F1,0.719956757,SRA
624,105,Degree Diversity,0.873074254,Actual Diversity
625,105,Degree Diversity,0.829550482,SRA
626,105,MAE,0.668620169,SRA
627,105,RMSE,0.875488377,SRA
628,105,HLU,1.506875733,SRA
630,105,SortingAccuracy,0.503011645,SRA
634,105,F1,0.720043231,SRA
637,110,Degree Diversity,0.873074254,Actual Diversity
638,110,Degree Diversity,0.829637749,SRA
639,110,MAE,0.668665719,SRA
640,110,RMSE,0.875573671,SRA
641,110,HLU,1.507320833,SRA
643,110,SortingAccuracy,0.502792927,SRA
647,110,F1,0.720157598,SRA
650,115,Degree Diversity,0.873074254,Actual Diversity
651,115,Degree Diversity,0.829218135,SRA
652,115,MAE,0.668689537,SRA
653,115,RMSE,0.875650561,SRA
654,115,HLU,1.508532472,SRA
656,115,SortingAccuracy,0.502976021,SRA
660,115,F1,0.720110043,SRA
663,120,Degree Diversity,0.873074254,Actual Diversity
664,120,Degree Diversity,0.828951577,SRA
665,120,MAE,0.668722534,SRA
666,120,RMSE,0.875737572,SRA
667,120,HLU,1.510797467,SRA
669,120,SortingAccuracy,0.502897074,SRA
673,120,F1,0.720288784,SRA
676,125,Degree Diversity,0.873074254,Actual Diversity
677,125,Degree Diversity,0.82834943,SRA
678,125,MAE,0.668755794,SRA
679,125,RMSE,0.875816023,SRA
680,125,HLU,1.513164498,SRA
682,125,SortingAccuracy,0.502905989,SRA
686,125,F1,0.720214671,SRA
689,130,Degree Diversity,0.873074254,Actual Diversity
690,130,Degree Diversity,0.828300667,SRA
691,130,MAE,0.668795204,SRA
692,130,RMSE,0.875901663,SRA
693,130,HLU,1.512476612,SRA
695,130,SortingAccuracy,0.502742851,SRA
699,130,F1,0.720237178,SRA
702,135,Degree Diversity,0.873074254,Actual Diversity
703,135,Degree Diversity,0.828277243,SRA
704,135,MAE,0.668827474,SRA
705,135,RMSE,0.875985026,SRA
706,135,HLU,1.515022825,SRA
708,135,SortingAccuracy,0.502667005,SRA
712,135,F1,0.720186777,SRA
715,140,Degree Diversity,0.873074254,Actual Diversity
716,140,Degree Diversity,0.827948142,SRA
717,140,MAE,0.6688573,SRA
718,140,RMSE,0.876053095,SRA
719,140,HLU,1.516323501,SRA
721,140,SortingAccuracy,0.502901423,SRA
725,140,F1,0.720233583,SRA
728,145,Degree Diversity,0.873074254,Actual Diversity
729,145,Degree Diversity,0.827624844,SRA
730,145,MAE,0.66888926,SRA
731,145,RMSE,0.876122653,SRA
732,145,HLU,1.517098942,SRA
734,145,SortingAccuracy,0.503022225,SRA
738,145,F1,0.720231257,SRA
741,150,Degree Diversity,0.873074254,Actual Diversity
742,150,Degree Diversity,0.827641718,SRA
743,150,MAE,0.668936169,SRA
744,150,RMSE,0.876204765,SRA
745,150,HLU,1.517644042,SRA
747,150,SortingAccuracy,0.502994693,SRA
751,150,F1,0.720260843,SRA
754,155,Degree Diversity,0.873074254,Actual Diversity
755,155,Degree Diversity,0.827332412,SRA
756,155,MAE,0.668976331,SRA
757,155,RMSE,0.876266396,SRA
758,155,HLU,1.518353061,SRA
760,155,SortingAccuracy,0.503040306,SRA
764,155,F1,0.720251751,SRA
767,160,Degree Diversity,0.873074254,Actual Diversity
768,160,Degree Diversity,0.827032318,SRA
769,160,MAE,0.669016659,SRA
770,160,RMSE,0.8763394,SRA
771,160,HLU,1.520136715,SRA
773,160,SortingAccuracy,0.503111595,SRA
777,160,F1,0.720291134,SRA
780,165,Degree Diversity,0.873074254,Actual Diversity
781,165,Degree Diversity,0.827028601,SRA
782,165,MAE,0.669061995,SRA
783,165,RMSE,0.876408315,SRA
784,165,HLU,1.520316476,SRA
786,165,SortingAccuracy,0.503192184,SRA
790,165,F1,0.720280725,SRA
793,170,Degree Diversity,0.873074254,Actual Diversity
794,170,Degree Diversity,0.82687436,SRA
795,170,MAE,0.669108355,SRA
796,170,RMSE,0.876479876,SRA
797,170,HLU,1.520507091,SRA
799,170,SortingAccuracy,0.50298809,SRA
803,170,F1,0.720326899,SRA
806,175,Degree Diversity,0.873074254,Actual Diversity
807,175,Degree Diversity,0.826880919,SRA
808,175,MAE,0.669155419,SRA
809,175,RMSE,0.87654984,SRA
810,175,HLU,1.519889033,SRA
812,175,SortingAccuracy,0.503072886,SRA
816,175,F1,0.720363463,SRA
819,180,Degree Diversity,0.873074254,Actual Diversity
820,180,Degree Diversity,0.82702001,SRA
821,180,MAE,0.669204283,SRA
822,180,RMSE,0.876628268,SRA
823,180,HLU,1.51991032,SRA
825,180,SortingAccuracy,0.503045993,SRA
829,180,F1,0.720283024,SRA
832,185,Degree Diversity,0.873074254,Actual Diversity
833,185,Degree Diversity,0.826728923,SRA
834,185,MAE,0.669256759,SRA
835,185,RMSE,0.876694918,SRA
836,185,HLU,1.520140647,SRA
838,185,SortingAccuracy,0.503077762,SRA
842,185,F1,0.720244072,SRA
845,190,Degree Diversity,0.873074254,Actual Diversity
846,190,Degree Diversity,0.826842453,SRA
847,190,MAE,0.669299054,SRA
848,190,RMSE,0.876762033,SRA
849,190,HLU,1.521513858,SRA
851,190,SortingAccuracy,0.502991228,SRA
855,190,F1,0.72017439,SRA
858,195,Degree Diversity,0.873074254,Actual Diversity
859,195,Degree Diversity,0.826419086,SRA
860,195,MAE,0.669340372,SRA
861,195,RMSE,0.876817179,SRA
862,195,HLU,1.520543444,SRA
864,195,SortingAccuracy,0.503025768,SRA
868,195,F1,0.720200476,SRA
871,200,Degree Diversity,0.873074254,Actual Diversity
872,200,Degree Diversity,0.82613698,SRA
873,200,MAE,0.669380045,SRA
874,200,RMSE,0.87687062,SRA
875,200,HLU,1.520318986,SRA
877,200,SortingAccuracy,0.503049597,SRA
881,200,F1,0.720215315,SRA
884,1,Degree Diversity,0.815308071,FPLV-C
885,1,MAE,0.673287332,FPLV-C
886,1,RMSE,0.880627596,FPLV-C
887,1,HLU,1.51241591,FPLV-C
889,1,SortingAccuracy,0.508130481,FPLV-C
893,1,F1,0.717458654,FPLV-C
896,2,Degree Diversity,0.815308071,FPLV-C
897,2,MAE,0.673287332,FPLV-C
898,2,RMSE,0.880627596,FPLV-C
899,2,HLU,1.51241591,FPLV-C
901,2,SortingAccuracy,0.508130481,FPLV-C
905,2,F1,0.717458654,FPLV-C
908,3,Degree Diversity,0.815308071,FPLV-C
909,3,MAE,0.673287332,FPLV-C
910,3,RMSE,0.880627596,FPLV-C
911,3,HLU,1.51241591,FPLV-C
913,3,SortingAccuracy,0.508130481,FPLV-C
917,3,F1,0.717458654,FPLV-C
920,4,Degree Diversity,0.815308071,FPLV-C
921,4,MAE,0.673287332,FPLV-C
922,4,RMSE,0.880627596,FPLV-C
923,4,HLU,1.51241591,FPLV-C
925,4,SortingAccuracy,0.508130481,FPLV-C
929,4,F1,0.717458654,FPLV-C
932,5,Degree Diversity,0.815308071,FPLV-C
933,5,MAE,0.673287332,FPLV-C
934,5,RMSE,0.880627596,FPLV-C
935,5,HLU,1.51241591,FPLV-C
937,5,SortingAccuracy,0.508130481,FPLV-C
941,5,F1,0.717458654,FPLV-C
944,6,Degree Diversity,0.815308071,FPLV-C
945,6,MAE,0.673287332,FPLV-C
946,6,RMSE,0.880627596,FPLV-C
947,6,HLU,1.51241591,FPLV-C
949,6,SortingAccuracy,0.508130481,FPLV-C
953,6,F1,0.717458654,FPLV-C
956,7,Degree Diversity,0.815308071,FPLV-C
957,7,MAE,0.673287332,FPLV-C
958,7,RMSE,0.880627596,FPLV-C
959,7,HLU,1.51241591,FPLV-C
961,7,SortingAccuracy,0.508130481,FPLV-C
965,7,F1,0.717458654,FPLV-C
968,8,Degree Diversity,0.815308071,FPLV-C
969,8,MAE,0.673287332,FPLV-C
970,8,RMSE,0.880627596,FPLV-C
971,8,HLU,1.51241591,FPLV-C
973,8,SortingAccuracy,0.508130481,FPLV-C
977,8,F1,0.717458654,FPLV-C
980,9,Degree Diversity,0.815308071,FPLV-C
981,9,MAE,0.673287332,FPLV-C
982,9,RMSE,0.880627596,FPLV-C
983,9,HLU,1.51241591,FPLV-C
985,9,SortingAccuracy,0.508130481,FPLV-C
989,9,F1,0.717458654,FPLV-C
992,10,Degree Diversity,0.815308071,FPLV-C
993,10,MAE,0.673287332,FPLV-C
994,10,RMSE,0.880627596,FPLV-C
995,10,HLU,1.51241591,FPLV-C
997,10,SortingAccuracy,0.508130481,FPLV-C
1001,10,F1,0.717458654,FPLV-C
1004,11,Degree Diversity,0.815308071,FPLV-C
1005,11,MAE,0.673287332,FPLV-C
1006,11,RMSE,0.880627596,FPLV-C
1007,11,HLU,1.51241591,FPLV-C
1009,11,SortingAccuracy,0.508130481,FPLV-C
1013,11,F1,0.717458654,FPLV-C
1016,12,Degree Diversity,0.815308071,FPLV-C
1017,12,MAE,0.673287332,FPLV-C
1018,12,RMSE,0.880627596,FPLV-C
1019,12,HLU,1.51241591,FPLV-C
1021,12,SortingAccuracy,0.508130481,FPLV-C
1025,12,F1,0.717458654,FPLV-C
1028,13,Degree Diversity,0.815308071,FPLV-C
1029,13,MAE,0.673287332,FPLV-C
1030,13,RMSE,0.880627596,FPLV-C
1031,13,HLU,1.51241591,FPLV-C
1033,13,SortingAccuracy,0.508130481,FPLV-C
1037,13,F1,0.717458654,FPLV-C
1040,14,Degree Diversity,0.815308071,FPLV-C
1041,14,MAE,0.673287332,FPLV-C
1042,14,RMSE,0.880627596,FPLV-C
1043,14,HLU,1.51241591,FPLV-C
1045,14,SortingAccuracy,0.508130481,FPLV-C
1049,14,F1,0.717458654,FPLV-C
1052,15,Degree Diversity,0.815308071,FPLV-C
1053,15,MAE,0.673287332,FPLV-C
1054,15,RMSE,0.880627596,FPLV-C
1055,15,HLU,1.51241591,FPLV-C
1057,15,SortingAccuracy,0.508130481,FPLV-C
1061,15,F1,0.717458654,FPLV-C
1064,16,Degree Diversity,0.815308071,FPLV-C
1065,16,MAE,0.673287332,FPLV-C
1066,16,RMSE,0.880627596,FPLV-C
1067,16,HLU,1.51241591,FPLV-C
1069,16,SortingAccuracy,0.508130481,FPLV-C
1073,16,F1,0.717458654,FPLV-C
1076,17,Degree Diversity,0.815308071,FPLV-C
1077,17,MAE,0.673287332,FPLV-C
1078,17,RMSE,0.880627596,FPLV-C
1079,17,HLU,1.51241591,FPLV-C
1081,17,SortingAccuracy,0.508130481,FPLV-C
1085,17,F1,0.717458654,FPLV-C
1088,18,Degree Diversity,0.815308071,FPLV-C
1089,18,MAE,0.673287332,FPLV-C
1090,18,RMSE,0.880627596,FPLV-C
1091,18,HLU,1.51241591,FPLV-C
1093,18,SortingAccuracy,0.508130481,FPLV-C
1097,18,F1,0.717458654,FPLV-C
1100,19,Degree Diversity,0.815308071,FPLV-C
1101,19,MAE,0.673287332,FPLV-C
1102,19,RMSE,0.880627596,FPLV-C
1103,19,HLU,1.51241591,FPLV-C
